algorithm,total_capacity,load_multiplier,timesteps,n,mean_reward,std_reward,mean_crash_rate,mean_training_time
A2C,30,10.0,500000,5,17.34153547104549,1.2539703760024061,1.0,162.50894269943237
A2C,40,10.0,500000,5,-25.265846674416572,0.8393454235207867,1.0,167.811531829834
PPO,30,10.0,500000,5,17.8703615804205,0.9789440875412999,1.0,200.93529119491578
PPO,40,10.0,500000,5,-25.950083801163636,0.5602571729633885,1.0,202.07898364067077
