weight_config,algorithm,n,mean_reward,std_reward,mean_crash_rate,mean_training_time
balance_focused,A2C,3,352466.29413616913,209.020388705558,0.0,147.42471567789713
balance_focused,PPO,3,352784.3384486882,43.40646644253728,0.0,153.9569843610128
baseline,A2C,3,352466.29413616913,209.020388705558,0.0,148.59385768572488
baseline,PPO,3,352784.3384486882,43.40646644253728,0.0,154.81007846196493
efficiency_focused,A2C,3,352466.29413616913,209.020388705558,0.0,149.8674919605255
efficiency_focused,PPO,3,352784.3384486882,43.40646644253728,0.0,155.841939608256
throughput_focused,A2C,3,352466.29413616913,209.020388705558,0.0,150.03551506996155
throughput_focused,PPO,3,352784.3384486882,43.40646644253728,0.0,155.80857141812643
