Wall time,Step,Value
1759031689.916513,159,203.5496368408203
1759031690.0226161,297,176.69094848632812
1759031690.121438,435,162.90182495117188
1759031690.152757,518,142.2181854248047
1759031690.218005,628,133.99533081054688
1759031690.269362,773,140.4659881591797
1759031690.313104,875,135.00694274902344
1759031690.426962,990,134.59913635253906
1759031692.822498,1067,129.8879852294922
1759031694.617884,1105,117.93859100341797
1759031695.500177,1130,96.24140167236328
1759031696.07904,1151,79.72988891601562
1759031696.675719,1172,64.77495574951172
1759031697.2154639,1192,54.58026123046875
1759031697.938186,1215,42.70519256591797
1759031725.9823291,2237,245.34117126464844
1759031779.766921,4237,537.9429931640625
1759031832.105375,6237,962.1921997070312
1759031880.211605,8237,1388.3631591796875
1759031912.085412,9504,1668.4444580078125
1759031918.892169,9780,1724.856201171875
1759031921.734719,9896,1746.594970703125
1759031922.4202912,9925,1749.2591552734375
1759031933.089368,10333,1839.793701171875
1759031984.138856,12333,2271.13916015625
1759031994.457658,12738,2130.038330078125
1759031995.401131,12775,1830.8961181640625
1759031995.7704582,12790,1392.1162109375
1759031996.2233229,12806,956.7750244140625
1759031996.661549,12823,675.798095703125
1759031997.243783,12844,620.9816284179688
1759031997.8737211,12869,601.8182983398438
1759031998.1413472,12880,598.5570678710938
1759032014.24621,13499,644.59619140625
1759032063.996046,15499,644.7627563476562
1759032112.861506,17499,1005.70751953125
1759032167.673624,19499,1432.56982421875
1759032217.7540421,21499,1868.1455078125
1759032266.589529,23499,2298.09423828125
1759032321.8275661,25499,2730.3935546875
1759032382.5792692,27499,3166.476806640625
1759032440.904881,29499,3599.489501953125
1759032503.3150232,31499,4040.550537109375
1759032574.996949,33499,4334.8359375
1759032637.3276422,35499,4343.00341796875
1759032700.404883,37499,4341.22900390625
1759032763.640966,39499,4348.51318359375
1759032828.967714,41499,4354.44921875
1759032892.950436,43499,4353.60693359375
1759032956.732675,45499,4361.07861328125
1759033017.036961,47499,4366.18798828125
1759033080.886397,49499,4361.36572265625
1759033142.565811,51499,4365.04150390625
1759033158.403826,51996,4045.8720703125
1759033159.1316512,52019,3608.94091796875
1759033160.210498,52049,3172.6181640625
1759033161.110193,52074,2736.83544921875
1759033162.145944,52100,2298.3310546875
1759033163.030827,52127,1871.134765625
1759033169.5867991,52354,1476.0582275390625
1759033230.661921,54354,1470.9193115234375
1759033293.6253219,56354,1472.616943359375
1759033356.602609,58354,1457.8223876953125
1759033420.434282,60354,1783.5118408203125
1759033483.80355,62354,2217.32421875
1759033547.1899571,64354,2651.710693359375
1759033610.896875,66354,3088.90283203125
1759033674.033581,68354,3527.612060546875
1759033732.296492,70354,3956.6669921875
1759033790.3504372,72354,4339.56591796875
1759033848.427444,74354,4337.41748046875
1759033902.7773912,76354,4338.240234375
1759033957.701292,78354,4349.84326171875
1759034012.593271,80354,4281.6943359375
1759034068.3963819,82354,4139.193359375
1759034123.962427,84354,4082.9638671875
1759034179.023368,86354,4025.986572265625
1759034235.123395,88354,3992.742919921875
1759034291.151289,90354,3989.82666015625
1759034345.8983538,92354,3984.87646484375
1759034400.536587,94354,3984.650146484375
1759034455.67586,96354,3983.41064453125
1759034510.512613,98354,3966.515380859375
1759034565.030554,100354,4025.572021484375
1759034618.4782028,102354,4154.95751953125
1759034672.705846,104354,4194.5361328125
1759034729.00619,106354,4249.2861328125
1759034783.8253288,108354,4275.82177734375
1759034837.396807,110354,4269.27587890625
1759034891.3994958,112354,4269.25439453125
1759034945.799422,114354,4260.4638671875
1759035000.624212,116354,4255.06884765625
1759035054.922627,118354,4257.8564453125
1759035109.3244648,120354,4256.94580078125
1759035164.490525,122354,4251.11181640625
1759035219.696542,124354,4261.25439453125
1759035273.81235,126354,4267.90283203125
1759035328.1116438,128354,4253.16552734375
1759035383.248414,130354,4259.95947265625
1759035443.254161,132354,4269.81298828125
1759035500.63253,134354,4273.16943359375
1759035558.374486,136354,4277.39599609375
1759035619.427603,138354,4282.4287109375
1759035677.43856,140354,4281.1455078125
1759035735.12371,142354,4299.87109375
1759035791.410315,144354,4301.1640625
1759035849.116012,146354,4281.0859375
1759035911.333786,148354,4288.7822265625
1759035966.744836,150354,4296.57421875
1759036029.4679139,152354,4298.134765625
1759036084.828523,154354,4302.251953125
1759036137.761119,156354,4304.609375
1759036190.555718,158354,4301.90576171875
1759036243.2312572,160354,4305.2294921875
1759036300.990436,162354,4298.64501953125
1759036362.806456,164354,4295.1025390625
1759036422.7054589,166354,4302.02490234375
1759036481.2129622,168354,4299.2861328125
1759036539.828694,170354,4292.3671875
1759036591.733866,172080,4216.85400390625
1759036632.262948,173486,4062.3330078125
1759036684.57723,175440,4042.45361328125
1759036741.144205,177440,4027.96142578125
1759036803.962631,179440,4019.283203125
1759036862.138837,181440,3954.706298828125
1759036923.534111,183440,3703.434326171875
1759036987.379086,185440,3447.843017578125
1759037047.252285,187440,3198.18310546875
1759037105.774434,189440,2945.234375
1759037167.22277,191440,2849.505615234375
1759037227.0088692,193440,2884.044921875
1759037276.874034,195244,2761.41357421875
1759037336.086285,197244,2670.513427734375
1759037387.859638,198991,2543.68505859375
1759037446.7284212,200991,2505.09521484375
1759037500.387823,202991,2663.46142578125
1759037560.357596,204991,2822.266357421875
1759037614.612633,206991,2985.747802734375
1759037668.143201,208798,3123.8271484375
1759037726.539209,210798,3198.75390625
1759037783.6878989,212798,3228.984619140625
1759037837.455276,214798,3275.814208984375
1759037896.134217,216798,3296.684326171875
1759037960.492425,218798,3340.80908203125
1759038016.301971,220798,3359.393798828125
1759038071.875663,222798,3360.90966796875
1759038128.0907562,224798,3376.099365234375
1759038184.49807,226798,3373.257080078125
1759038240.024013,228798,3398.666259765625
1759038295.346111,230798,3399.696044921875
1759038351.949124,232798,3393.34716796875
1759038409.610314,234798,3403.625244140625
1759038464.8844469,236798,3406.0595703125
1759038513.7088761,238798,3413.55712890625
1759038562.370111,240798,3416.365966796875
1759038613.8996859,242798,3428.127197265625
1759038664.030776,244798,3421.258056640625
1759038714.085304,246798,3433.29150390625
1759038763.532722,248798,3440.466552734375
