family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
RL,A2C,inverted,30,"[10, 8, 5, 4, 3]",7.0,46,51109.13862692141,41469.519027730144,791.58,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",7.0,42,72603.46111015447,65984.94451090237,1089.78,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",7.0,43,46796.90504427763,47675.2427570707,703.22,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",7.0,44,29442.632828096048,33614.81260151258,449.12,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",7.0,45,159091.49779927506,159929.8954583835,2362.44,0.98
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",7.0,46,27240.845174478654,31057.963113526923,418.36,1.0
RL,A2C,inverted,30,"[10, 8, 5, 4, 3]",10.0,42,16.066741546389643,21.805200638037793,1.0,1.0
RL,A2C,inverted,30,"[10, 8, 5, 4, 3]",10.0,43,16.60625175047128,22.068759973049037,1.0,1.0
RL,A2C,inverted,30,"[10, 8, 5, 4, 3]",10.0,44,17.53004219739289,22.415543357986415,1.0,1.0
RL,A2C,inverted,30,"[10, 8, 5, 4, 3]",10.0,45,17.296281537356872,22.969357411050755,1.0,1.0
RL,A2C,inverted,30,"[10, 8, 5, 4, 3]",10.0,46,18.434299869181686,22.75083091908517,1.0,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",10.0,42,15.147354150413184,21.932630914390593,1.0,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",10.0,43,15.53562081707985,22.156638909053193,1.0,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",10.0,44,16.764049388508422,22.20892710175578,1.0,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",10.0,45,16.957208808798278,22.354930754054188,1.0,1.0
RL,PPO,inverted,30,"[10, 8, 5, 4, 3]",10.0,46,17.561780237369707,22.478798563050706,1.0,1.0
