family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,SJF,reverse,30,"[3, 4, 5, 8, 10]",6.0,44,-60.221143585842704,18.65261756274156,1.0,1.0
Heuristic,SJF,reverse,30,"[3, 4, 5, 8, 10]",6.0,45,-60.205740529205,18.664105137975287,1.0,1.0
Heuristic,SJF,reverse,30,"[3, 4, 5, 8, 10]",6.0,46,-60.026417996068034,18.743791673447387,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",6.0,42,-422.11940477979203,18.091773395056567,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",6.0,43,-422.1104959222823,18.09950584058726,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",6.0,44,-422.5498978680069,17.71114240923372,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",6.0,45,-422.1496811042408,18.073814250653655,1.0,1.0
Heuristic,Priority,reverse,30,"[3, 4, 5, 8, 10]",6.0,46,-421.5496811042408,18.706287942006472,1.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",6.0,42,219142.75529174876,194180.8519554131,3193.2,0.92
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",6.0,43,155672.43475712911,134930.57233685258,2384.88,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",6.0,44,260201.41631901608,192395.50407768192,3933.7,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",6.0,45,163480.82226937852,133443.56022751782,2536.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",6.0,46,236968.83569717358,187387.0984593746,3573.92,0.9
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",6.0,42,178289.43309527155,147998.6285331312,2723.04,0.98
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",6.0,43,151096.3611902875,139920.3760351197,2320.24,0.98
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",6.0,44,177464.6322011474,141536.25136038064,2708.22,0.98
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",6.0,45,170837.2312114219,140596.61323815363,2608.62,0.98
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",6.0,46,231540.0339210505,161265.1949160636,3531.86,0.98
