family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
RL,A2C,uniform,10,3.0,5,312931.3113254316,146389.3191138191,0.0
RL,A2C,uniform,10,4.0,5,328490.22291245486,60909.55630345019,0.0
RL,A2C,uniform,30,3.0,5,595159.7403151309,479.4075132661764,0.0
RL,A2C,uniform,30,4.0,5,760449.1164569715,2029.2477439984266,0.0
RL,PPO,uniform,10,3.0,5,247555.62605213327,106.14419838001784,0.0
RL,PPO,uniform,10,4.0,5,301377.42448129074,66.14459804453207,0.0
RL,PPO,uniform,30,3.0,5,594871.1958381535,215.23828474498507,0.0
RL,PPO,uniform,30,4.0,5,759411.6032876129,1162.5933896332765,0.0
