family,algorithm,shape,total_capacity,load_multiplier,n,mean_reward,std_reward,mean_crash_rate
Heuristic,FCFS,uniform,10,6.0,5,-48231.465736570084,25.11283413849677,0.0
Heuristic,FCFS,uniform,10,7.0,5,-29.224754925654487,0.5105416545837251,1.0
Heuristic,FCFS,uniform,30,6.0,5,-243.73315681796944,0.5513017859865184,1.0
Heuristic,FCFS,uniform,30,7.0,5,-306.87114050710454,0.5533283581150544,1.0
Heuristic,Heuristic,uniform,10,6.0,5,-508.11790185970295,0.2723467075737126,1.0
Heuristic,Heuristic,uniform,10,7.0,5,-614.840140581998,0.36276231828741695,1.0
Heuristic,Heuristic,uniform,30,6.0,5,-1792.0667806380286,0.5531217893447593,1.0
Heuristic,Heuristic,uniform,30,7.0,5,-2114.633877575185,0.537056913043023,1.0
Heuristic,Priority,uniform,10,6.0,5,-68.0139885559082,0.6138556634178808,1.0
Heuristic,Priority,uniform,10,7.0,5,-95.68712950570242,0.5423343347163602,1.0
Heuristic,Priority,uniform,30,6.0,5,-420.45319364773025,0.453158230822056,1.0
Heuristic,Priority,uniform,30,7.0,5,-513.3410578244842,0.4641254104523237,1.0
Heuristic,SJF,uniform,10,6.0,5,491274.77222464466,63.49135524941747,0.0
Heuristic,SJF,uniform,10,7.0,5,39.61743286296299,0.40928309647629807,1.0
Heuristic,SJF,uniform,30,6.0,5,-52.290035109315454,0.798790874158421,1.0
Heuristic,SJF,uniform,30,7.0,5,-85.36495603346968,0.7879813867098091,1.0
RL,A2C,uniform,10,6.0,5,400189.78212281724,237.1915247679174,0.0
RL,A2C,uniform,10,7.0,5,444055.1945993686,210.16015382272127,0.0
RL,A2C,uniform,30,6.0,5,338683.81372247374,42775.96533957727,0.86
RL,A2C,uniform,30,7.0,5,155278.90813591826,42779.60824219841,0.976
RL,PPO,uniform,10,6.0,5,400463.91672692494,42.78201729527641,0.0
RL,PPO,uniform,10,7.0,5,444384.9236468968,94.91013741008186,0.0
RL,PPO,uniform,30,6.0,5,347612.22380863695,102102.51098920288,0.8320000000000001
RL,PPO,uniform,30,7.0,5,120990.699810442,107945.95085990602,0.968
