algorithm,10,30
FCFS,123166.6008118173,-180.75066838716836
SJF,475193.5824755404,-18.217724941724946
Priority,-40.35342618724278,-328.4594427709545
Heuristic,-402.9390992365185,-1468.3784680823487
A2C,352476.98368791223,737259.0529216782
PPO,352675.6303154689,718884.4891398294
