load,k10_mean,k30_mean,k10_crash,k30_crash,difference,t_stat,p_value,cohens_d,winner
3.0,280243.4686887825,595015.4680766421,0.0,0.0,-314771.99938785966,-9.617587089682265,1.62185501464207e-08,-4.301115702410781,K=30
4.0,314933.8236968728,759930.3598722921,0.0,0.0,-444996.53617541934,-32.665589183901396,1.778198166482701e-17,-14.60849558805708,K=30
6.0,400326.8494248711,343148.01876555535,0.0,0.8460000000000001,57178.83065931575,2.445074978669859,0.02499642017849929,1.0934707724779307,K=10
7.0,444220.05912313267,138134.80397318015,0.0,0.9720000000000001,306085.2551499525,12.176554468384545,3.987653504363033e-10,5.445520704607331,K=10
8.0,485587.25009355164,69391.76959635591,0.0,0.95,416195.48049719573,9.80283498452283,1.2122870168045898e-08,4.38396107952123,K=10
9.0,523505.1704943818,28.5888181924585,0.0,1.0,523476.5816761893,6300.194120319088,1.504371633021688e-58,2817.5324648955943,K=10
10.0,558555.2211365083,16.91930211469608,0.0,1.0,558538.3018343935,5612.356599323796,1.2053434736722464e-57,2509.922174011512,K=10
