config_type,algorithm,seed,total_capacity,mean_reward,std_reward,crash_rate,mean_drift_l1,mean_lyapunov,mean_lyapunov_drift,mean_safe_ratio,mean_max_load_rate
normal_pyramid,A2C,123,23,661820.391588418,2225.9362285563493,0.0,,,,,
normal_pyramid,PPO,123,23,659116.9096282322,1892.0592778152993,0.0,,,,,
normal_pyramid,PPO,43,23,-1147.4880726763681,15.147387366293303,1.0,,,,,
normal_pyramid,PPO,42,23,-1178.2084569876533,12.466397610687563,1.0,,,,,
normal_pyramid,A2C,456,23,664861.141632856,2235.6684956538547,0.0,,,,,
normal_pyramid,A2C,42,23,-182.19047636933857,19.03687088565664,1.0,,,,,
normal_pyramid,PPO,456,23,658765.6132508812,1712.8330059573047,0.0,,,,,
normal_pyramid,A2C,43,23,5282.465980212108,8112.057122376244,1.0,,,,,
capacity_30,A2C,42,30,645989.8564978753,194426.81991559538,0.5,0.10849399913240469,9.666795199305923,0.0014339422567118138,0.0,1.126088592282673
inverted_pyramid,A2C,123,23,723162.55280962,2402.237823355249,0.0,,,,,
inverted_pyramid,PPO,123,23,722260.4186600086,2279.228919198759,0.0,,,,,
inverted_pyramid,PPO,43,23,-1146.8378770690495,15.088562152650468,1.0,,,,,
inverted_pyramid,PPO,42,23,-1178.3442464613377,12.434775412125642,1.0,,,,,
inverted_pyramid,A2C,456,23,722486.1716222172,2086.931276546367,0.0,,,,,
inverted_pyramid,A2C,42,23,-174.39592797018975,33.12754665222875,1.0,,,,,
inverted_pyramid,PPO,456,23,722532.8528676955,2238.347707914214,0.0,,,,,
inverted_pyramid,A2C,43,23,1618.3546582121999,1793.9998890326494,1.0,,,,,
inverted_pyramid,A2C,44,23,722546.4781618698,743.9426925825527,0.0,0.0812895652173913,3.28506,0.00122,0.0,0.8625016249227524
low_capacity,A2C,42,10,352144.0843940766,1791.918261126159,0.0,0.020975999999999998,0.11509,0.0,1.0,0.375
