shape,algorithm,seed,mean_reward,std_reward,crash_rate,mean_episode_length,mean_max_load_rate,mean_lyapunov,mean_drift_l1
inverted_pyramid,A2C,42,724316.4165689609,2570.0101717764906,0.0,10000.0,0.862500011920929,3.715454,0.0816495652173913
inverted_pyramid,A2C,43,722320.6872516504,2256.536699187931,0.0,10000.0,0.862500011920929,3.30126,0.08096452173913041
inverted_pyramid,A2C,44,722283.3444209083,2329.2856070109356,0.0,10000.0,0.862500011920929,4.033066,0.08279086956521736
inverted_pyramid,A2C,45,722629.983150315,2210.7309597342282,0.0,10000.0,0.862500011920929,3.968754,0.08252991304347826
inverted_pyramid,A2C,46,722429.2802685319,2741.579133140752,0.0,10000.0,0.862500011920929,4.034208,0.08264347826086957
inverted_pyramid,A2C,47,725297.6936065474,2171.9122149224736,0.0,10000.0,0.862500011920929,3.361932,0.08086086956521739
inverted_pyramid,A2C,48,726989.5285332502,2417.73092953999,0.0,10000.0,0.862500011920929,2.33262,0.07872913043478257
inverted_pyramid,A2C,49,723483.8699344571,2340.607376557901,0.0,10000.0,0.862500011920929,3.134984,0.08017008695652171
inverted_pyramid,A2C,50,724709.7936106189,2156.79476567786,0.0,10000.0,0.862500011920929,2.673344,0.08028121739130435
inverted_pyramid,A2C,51,722840.82644767,2113.051198090121,0.0,10000.0,0.862500011920929,3.641928,0.08205565217391303
inverted_pyramid,A2C,52,723958.3116670016,2372.12426708033,0.0,10000.0,0.862500011920929,2.657768,0.07993739130434781
inverted_pyramid,A2C,53,723052.1814048142,2096.2033359577867,0.0,10000.0,0.862500011920929,3.84494,0.08175686956521737
inverted_pyramid,A2C,54,722857.362183451,2553.2147981079265,0.0,10000.0,0.862500011920929,3.605438,0.08189886956521734
inverted_pyramid,A2C,55,722456.5104020785,2752.5081789435494,0.0,10000.0,0.862500011920929,4.027734,0.08253113043478262
inverted_pyramid,A2C,56,722616.5955044054,2321.1167833668464,0.0,10000.0,0.862500011920929,3.851288,0.08174652173913041
inverted_pyramid,A2C,57,723826.7706453644,2363.373651516024,0.0,10000.0,0.862500011920929,2.575422,0.07964739130434781
inverted_pyramid,A2C,58,724423.9875357453,2473.5846060435747,0.0,10000.0,0.862500011920929,2.9818,0.07947695652173913
inverted_pyramid,A2C,59,722353.7181226067,2675.45136599533,0.0,10000.0,0.862500011920929,4.045172,0.08281069565217387
inverted_pyramid,A2C,60,722933.9076718434,2403.3539866855035,0.0,10000.0,0.862500011920929,3.959758,0.08258295652173912
inverted_pyramid,A2C,61,723079.9899789597,2155.3451508684384,0.0,10000.0,0.862500011920929,3.323654,0.08103139130434779
inverted_pyramid,A2C,62,722544.2130147101,2209.93099972243,0.0,10000.0,0.862500011920929,3.60574,0.08201869565217391
inverted_pyramid,A2C,63,722624.2092933385,2328.755983402544,0.0,10000.0,0.862500011920929,4.043738,0.0829547826086956
inverted_pyramid,A2C,64,722546.8634182921,1875.8199222862468,0.0,10000.0,0.862500011920929,3.838714,0.08164365217391303
inverted_pyramid,A2C,65,723223.5123898324,2347.9696448460263,0.0,10000.0,0.862500011920929,3.95007,0.08236704347826086
inverted_pyramid,A2C,66,722960.0919306433,2624.2186346458307,0.0,10000.0,0.862500011920929,4.03365,0.08278347826086956
inverted_pyramid,A2C,67,723124.9576498148,2145.111733775689,0.0,10000.0,0.862500011920929,3.619772,0.08184843478260867
inverted_pyramid,A2C,68,724446.5996993163,2028.7157593847971,0.0,10000.0,0.862500011920929,3.363074,0.08063182608695653
inverted_pyramid,A2C,69,722476.2609596741,2324.7610502556945,0.0,10000.0,0.862500011920929,3.837366,0.0816562608695652
inverted_pyramid,A2C,70,724443.7918745201,2363.3977088186066,0.0,10000.0,0.862500011920929,2.574786,0.07969434782608695
inverted_pyramid,A2C,71,722873.6581233081,2833.742472229093,0.0,10000.0,0.862500011920929,3.936742,0.08245878260869564
inverted_pyramid,PPO,42,722668.9649148455,1943.7397631177528,0.0,10000.0,0.8625006108064651,4.05508,0.08279313043478262
inverted_pyramid,PPO,43,722561.4110564293,2184.467537245876,0.0,10000.0,0.86250051095891,4.059014,0.0827574782608696
inverted_pyramid,PPO,44,723038.0711764878,2361.6008480624732,0.0,10000.0,0.8625118790456057,3.643048,0.08198895652173914
inverted_pyramid,PPO,45,722292.9086275304,2453.345467444571,0.0,10000.0,0.862500011920929,4.055734,0.08281052173913044
inverted_pyramid,PPO,46,722363.1679226279,2619.6485537074855,0.0,10000.0,0.8625057969851494,4.03237,0.08266278260869567
inverted_pyramid,PPO,47,722658.474523627,2297.7173097285117,0.0,10000.0,0.8625029784274101,4.035682,0.08277765217391303
inverted_pyramid,PPO,48,722727.7267875215,2408.8170140768875,0.0,10000.0,0.862504546349883,4.064504,0.0828495652173913
inverted_pyramid,PPO,49,722439.1315794277,2321.39030034087,0.0,10000.0,0.8625001589868069,4.054888,0.08296113043478259
inverted_pyramid,PPO,50,722812.0796997318,2109.820992265375,0.0,10000.0,0.8625004549896718,4.054854,0.08300721739130436
inverted_pyramid,PPO,51,722609.3766949218,2485.0604668904634,0.0,10000.0,0.8625019733660221,3.527546,0.08217930434782608
inverted_pyramid,PPO,52,722699.1475583753,2506.6941018611546,0.0,10000.0,0.8625018989117146,3.843356,0.08181991304347824
inverted_pyramid,PPO,53,722494.3050616628,2033.9675257147694,0.0,10000.0,0.862500011920929,4.015854,0.0827585217391304
inverted_pyramid,PPO,54,722930.9677258242,2100.356268596301,0.0,10000.0,0.8625014549683332,4.06472,0.08297791304347824
inverted_pyramid,PPO,55,722115.6907109576,2354.6094674220885,0.0,10000.0,0.8625016098717451,4.035214,0.08274069565217394
inverted_pyramid,PPO,56,722230.2905543613,2426.1763127240492,0.0,10000.0,0.8625077746812105,4.02077,0.08262678260869565
inverted_pyramid,PPO,57,722680.0533941075,2200.8315810818312,0.0,10000.0,0.8625016754360199,4.06052,0.08301660869565218
inverted_pyramid,PPO,58,722711.6437890648,2714.50794788753,0.0,10000.0,0.8625014593021869,4.014986,0.08276078260869564
inverted_pyramid,PPO,59,722308.304621517,2563.2204888266933,0.0,10000.0,0.8625006662708521,4.042782,0.08275504347826088
inverted_pyramid,PPO,60,722771.0293337022,2339.1365331252687,0.0,10000.0,0.8625009120076895,4.067144,0.08291469565217387
inverted_pyramid,PPO,61,722832.0628828905,2051.322321507813,0.0,10000.0,0.8625016072345972,4.070078,0.08296704347826087
inverted_pyramid,PPO,62,722334.9057557944,2418.422704994761,0.0,10000.0,0.8625014886467457,4.024956,0.08284356521739128
inverted_pyramid,PPO,63,722160.0417872703,2721.978054826779,0.0,10000.0,0.8625129030672312,4.031322,0.08277686956521739
inverted_pyramid,PPO,64,721828.0216205175,2121.7337804484896,0.0,10000.0,0.8625028116294146,4.018464,0.08242356521739133
